subgenre_id,subgenre_name,genre_id
KZazBEonSMnZfZ7vaa7,German Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAla,Greek Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAl1,Hungarian Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7va1F,Indie Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAlJ,Irish Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAlE,Jewish Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAlI,Klezmer,KnvZfZ7vAva
KZazBEonSMnZfZ7vAlt,Latin America,KnvZfZ7vAva
KZazBEonSMnZfZ7vAln,Latin Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vAll,Mediterranean,KnvZfZ7vAva
KZazBEonSMnZfZ7vkvv,Mexican Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vkve,Middle Eastern,KnvZfZ7vAva
KZazBEonSMnZfZ7vkvd,Neo-Traditional Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vkv7,New Acoustic,KnvZfZ7vAva
KZazBEonSMnZfZ7vkvA,Political Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vkvk,Revival,KnvZfZ7vAva
KZazBEonSMnZfZ7vaaF,Schlager & Volksmusik,KnvZfZ7vAva
KZazBEonSMnZfZ7vkv6,Scottish Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vkvF,Sea Shanties,KnvZfZ7vAva
KZazBEonSMnZfZ7vkva,Traditional Cajun,KnvZfZ7vAva
KZazBEonSMnZfZ7vkv1,Traditional Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vkvJ,Traditional Irish Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vkvE,Traditional Middle Eastern Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vkvI,Traditional Scottish Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vkvt,Urban Folk,KnvZfZ7vAva
KZazBEonSMnZfZ7vkvn,Zydeco,KnvZfZ7vAva
KZazBEonSMnZfZ7vkev,Alternative Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkee,British Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vked,Christian Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vke7,Dirty Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkeA,East Coast Rap,KnvZfZ7vAv1
KZazBEonSMnZfZ7vkek,Electro,KnvZfZ7vAv1
KZazBEonSMnZfZ7vaa1,French Rap,KnvZfZ7vAv1
