venue_id,SeatMap
Z7r9jZadbo,https://content.resale.ticketmaster.com/graphics/TMResale/2/VenueMaps/13841-0-0-1-GAStage.png
KovZpZAF6JkA,https://maps.ticketmaster.com/maps/geometry/3/event/09005EB8ED1847AE/staticImage?type=png&systemId=HOST
KovZpZAEvnFA,https://maps.ticketmaster.com/maps/geometry/3/event/09005EA5734A3617/staticImage?type=png&systemId=HOST
KovZpZAFAIEA,https://s1.ticketm.net/tmimages/venue/maps/la1/27725s.gif
KovZ917AGEf,https://maps.ticketmaster.com/maps/geometry/3/event/09005EC126536286/staticImage?type=png&systemId=HOST
KovZpZAEvnFA,https://maps.ticketmaster.com/maps/geometry/3/event/09005E4195AB4075/staticImage?type=png&systemId=HOST
KovZ917AGff,https://maps.ticketmaster.com/maps/geometry/3/event/09005E7ED87A479B/staticImage?type=png&systemId=HOST
KovZpZAF6JkA,https://maps.ticketmaster.com/maps/geometry/3/event/09005E9D07DE5F97/staticImage?type=png&systemId=HOST
KovZpZAallJA,https://maps.ticketmaster.com/maps/geometry/3/event/09005E47B2F134F1/staticImage?type=png&systemId=HOST
KovZ917A967,https://maps.ticketmaster.com/maps/geometry/3/event/09005E7ED16242A5/staticImage?type=png&systemId=HOST
KovZ917AJue,https://maps.ticketmaster.com/maps/geometry/3/event/0A005D761D265101/staticImage?type=png&systemId=HOST
ZFr9jZ67A6,https://content.resale.ticketmaster.com/graphics/TMResale/2/VenueMaps/6346-0-0-1-GAStage71229.png
KovZpa6OCe,https://maps.ticketmaster.com/maps/geometry/3/event/09005ED7A14B2AA8/staticImage?type=png&systemId=HOST
KovZpZAEA67A,https://maps.ticketmaster.com/maps/geometry/3/event/09005EA4128087F3/staticImage?type=png&systemId=HOST
KovZpZAaaaEA,https://maps.ticketmaster.com/maps/geometry/3/event/09005EAC198987C3/staticImage?type=png&systemId=HOST
KovZ917AJ5H,https://maps.ticketmaster.com/maps/geometry/3/event/09005E9598D22594/staticImage?type=png&systemId=HOST
KovZpZAJ6daA,https://maps.ticketmaster.com/maps/geometry/3/event/09005EB9C3F43BA6/staticImage?type=png&systemId=HOST
KovZpZAF6EaA,https://maps.ticketmaster.com/maps/geometry/3/event/0B005E680D2D52AC/staticImage?type=png&systemId=HOST
KovZpa2Hxe,https://maps.ticketmaster.com/maps/geometry/3/event/09005E831B2830F1/staticImage?type=png&systemId=HOST
KovZpZAEvnFA,https://maps.ticketmaster.com/maps/geometry/3/event/09005E8CF01B3778/staticImage?type=png&systemId=HOST
KovZpZAJvttA,https://maps.ticketmaster.com/maps/geometry/3/event/09005EB0F418AB88/staticImage?type=png&systemId=HOST
KovZpZAF6JkA,https://maps.ticketmaster.com/maps/geometry/3/event/09005EA9BA7D4EA4/staticImage?type=png&systemId=HOST
KovZpZAEA66A,https://maps.ticketmaster.com/maps/geometry/3/event/0B005E7CB09E14BC/staticImage?type=png&systemId=HOST
KovZpZAFAIEA,https://maps.ticketmaster.com/maps/geometry/3/event/09005E74E02B3C2F/staticImage?type=png&systemId=HOST
KovZ917A967,https://maps.ticketmaster.com/maps/geometry/3/event/09005E7D0EA36D81/staticImage?type=png&systemId=HOST
KovZ917A8gf,https://maps.ticketmaster.com/maps/geometry/3/event/09005E6791ED1354/staticImage?type=png&systemId=HOST
KovZ917AGff,https://maps.ticketmaster.com/maps/geometry/3/event/09005E9CFF156399/staticImage?type=png&systemId=HOST
KovZpZA1vvlA,https://maps.ticketmaster.com/maps/geometry/3/event/0A005E639C2F1A4B/staticImage?type=png&systemId=HOST
KovZ917AGEf,https://maps.ticketmaster.com/maps/geometry/3/event/09005EBABD8C3A48/staticImage?type=png&systemId=HOST
KovZ917AGEf,https://maps.ticketmaster.com/maps/geometry/3/event/09005EBABD8C3A48/staticImage?type=png&systemId=HOST
