Event ID,event_name,venue_id,event_url,image_url,startDate,startTime,genre_id,subgenre_id,min_price,max_price
vvG10Z9lh0pdb7,Belly,KovZpa6OCe,https://concerts.livenation.com/belly-los-angeles-california-07-11-2023/event/09005EB6E4583604,https://s1.ticketm.net/dam/a/f03/dc844537-b9d2-4c50-8a4a-5da2924ecf03_SOURCE,2023-07-11,19:00:00,KnvZfZ7vAv1,KZazBEonSMnZfZ7vaa1,35.0,35.0
LvZ18_Fqqnvl2jZrLlpRp,Spotlight: Ryan Beatty,KovZpZAJvlnA,https://www.universe.com/events/spotlight-ryan-beatty-tickets-XYD46K?ref=ticketmaster,https://s1.ticketm.net/dam/a/d83/07cbeebc-1390-40e5-9849-6cfda766fd83_TABLET_LANDSCAPE_LARGE_16_9.jpg,2023-07-11,19:30:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6F1,,
vvG10Z90UJdvD4,Charlie Puth Box Suite Event,KovZpa2Hxe,https://www.ticketmaster.com/charlie-puth-box-suite-event-los-angeles-california-07-11-2023/event/09005E4DA60C1ED5,https://s1.ticketm.net/dam/c/4f2/0109888a-61b5-4525-8432-b026ef04f4f2_105631_EVENT_DETAIL_PAGE_16_9.jpg,2023-07-11,19:30:00,KnvZfZ7vAev,KZazBEonSMnZfZ7vk1t,,
vvG10Z90l7o7Sy,"Charlie Puth Presents The ""Charlie"" Live Experience",KovZpa2Hxe,https://www.ticketmaster.com/charlie-puth-presents-the-charlie-live-los-angeles-california-07-11-2023/event/09005E4AC4444CF9,https://s1.ticketm.net/dam/a/c4b/220fea8d-4af3-45ee-9d09-80320fba5c4b_RETINA_PORTRAIT_16_9.jpg,2023-07-11,19:30:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6F1,35.0,99.5
vvG10Z9iJ13-Ci,Glare,KovZ917AJ5H,https://www.ticketmaster.com/glare-los-angeles-california-07-11-2023/event/09005EC98A4A13AC,https://s1.ticketm.net/dam/a/629/925bacbb-03c1-45f4-a4b1-1f16b3927629_EVENT_DETAIL_PAGE_16_9.jpg,2023-07-11,19:30:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6dt,15.0,15.0
Z7r9jZ1Ad-v-4,Claire Rosinkranz,Z6r9jZkv7e,https://www.ticketmaster.com/event/Z7r9jZ1Ad-v-4,https://s1.ticketm.net/dam/a/11c/3d327602-8157-413c-b8ee-eb8d113c111c_RETINA_PORTRAIT_16_9.jpg,2023-07-11,20:00:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,,
vvG10Z9lXH27rc,Phantogram,KovZ917AiI3,https://www.ticketmaster.com/phantogram-los-angeles-california-07-11-2023/event/09005EBFBC3C47AD,https://s1.ticketm.net/dam/a/848/22ea5197-86ae-4cb0-8c75-15995792b848_1767781_CUSTOM.jpg,2023-07-11,20:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6F1,55.0,55.0
vvG10Z9lIrJMES,CANCELED - Shawny Binladen with Bizzy Banks,KovZ917A967,https://concerts.livenation.com/canceled-shawny-binladen-with-bizzy-banks-los-angeles-california-07-12-2023/event/09005EBA1E9B79F3,https://s1.ticketm.net/dam/a/d4a/3adb679e-ae03-4f14-b700-3752b92b0d4a_RECOMENDATION_16_9.jpg,2023-07-12,19:00:00,KnvZfZ7vAv1,KZazBEonSMnZfZ7vaa1,22.0,22.0
Z7r9jZ1Ad-7k3,Claire Rosinkranz,Z6r9jZkv7e,https://www.ticketmaster.com/event/Z7r9jZ1Ad-7k3,https://s1.ticketm.net/dam/a/11c/3d327602-8157-413c-b8ee-eb8d113c111c_RETINA_PORTRAIT_16_9.jpg,2023-07-12,20:00:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,,
vvG10Z9cu8Xk8K,"Return to Dust, WELL HELL, Hexengarten, Phaeic",KovZ917AJ5H,https://www.ticketmaster.com/return-to-dust-well-hell-hexengarten-los-angeles-california-07-12-2023/event/09005ED350F86413,https://s1.ticketm.net/dam/e/d33/d81d949d-2381-407a-b83d-51b46ec93d33_RETINA_PORTRAIT_3_2.jpg,2023-07-12,20:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6dt,10.0,10.0
vvG10Z9lEQ6VQF,Buscabulla,KovZ917AiI3,https://www.ticketmaster.com/buscabulla-los-angeles-california-07-12-2023/event/09005EB9DA1F4688,https://s1.ticketm.net/dam/a/944/8b640785-8bbf-437c-a1e4-dedd0f9e5944_TABLET_LANDSCAPE_16_9.jpg,2023-07-12,20:00:00,KnvZfZ7vAev,KZazBEonSMnZfZ7vk1t,29.5,29.5
vvG10Z9lEOaVNK,ill peach,KovZ917AJ5H,https://www.ticketmaster.com/ill-peach-los-angeles-california-07-13-2023/event/09005EB9E02748D3,https://s1.ticketm.net/dam/a/73d/9b13951f-4959-4cbc-932a-52545179073d_RETINA_PORTRAIT_16_9.jpg,2023-07-13,18:30:00,KnvZfZ7vAev,KZazBEonSMnZfZ7vk1t,18.0,18.0
Z7r9jZ1AdjPPs,Happy Together Tour,Z6r9jZ1eFe,https://www.ticketmaster.com/event/Z7r9jZ1AdjPPs,https://s1.ticketm.net/dam/a/94b/b9952f5d-cf31-41d0-bd1f-7ed01bee094b_589291_TABLET_LANDSCAPE_3_2.jpg,2023-07-13,19:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6A7,,
vvG10Z9iNOi3zE,The Backyard By Stater Bros Presents Saticoy,KovZpZAkEFlA,https://www.ticketmaster.com/the-backyard-by-stater-bros-presents-ontario-california-07-13-2023/event/09005EC8E0B12E27,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_RECOMENDATION_16_9.jpg,2023-07-13,19:30:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,9.75,9.75
Z7r9jZ1Ad-039,Charles Wesley Godwin,Z6r9jZkv7e,https://www.ticketmaster.com/event/Z7r9jZ1Ad-039,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_RECOMENDATION_16_9.jpg,2023-07-13,20:00:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,,
Z7r9jZ1Ad0dFo,Strick,ZFr9jZeA6a,https://www.ticketmaster.com/event/Z7r9jZ1Ad0dFo,https://s1.ticketm.net/dam/a/a4c/68120d46-73cb-4dec-99e2-96a42a84ca4c_1114381_TABLET_LANDSCAPE_LARGE_16_9.jpg,2023-07-13,20:00:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,,
Z7r9jZ1AdOUOA,Maxwell,ZFr9jZAvFe,https://www.ticketmaster.com/event/Z7r9jZ1AdOUOA,https://s1.ticketm.net/dam/a/2ab/65367186-73f0-4380-bf2b-b4662f34b2ab_1666331_RETINA_PORTRAIT_3_2.jpg,2023-07-13,20:00:00,KnvZfZ7vAee,KZazBEonSMnZfZ7vkIt,,
vvG10Z9iOgk4o0,Neil Young,KovZpa2Hxe,https://www.ticketmaster.com/neil-young-los-angeles-california-07-13-2023/event/09005EC835195464,https://s1.ticketm.net/dam/a/87c/54757ba1-b60a-40d6-aefb-c889f719a87c_SOURCE,2023-07-13,20:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6F1,79.0,299.0
vvG10Z9iksR34Z,Tycho,KovZ917AiI3,https://www.ticketmaster.com/tycho-los-angeles-california-07-13-2023/event/09005EC1B1BD2540,https://s1.ticketm.net/dam/a/00e/548da9eb-cea1-4ace-8365-4f1d2ad2000e_1274931_RETINA_PORTRAIT_16_9.jpg,2023-07-13,20:00:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,49.5,49.5
vvG10Z9lGA0ns4,Nickelback,KovZpZAaaaEA,https://www.ticketmaster.com/nickelback-cabazon-california-07-13-2023/event/09005EB30592AC55,https://s1.ticketm.net/dam/a/5c0/8aa7458f-e1dc-4617-86dd-db542b09e5c0_1821511_RETINA_LANDSCAPE_16_9.jpg,2023-07-13,20:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6dt,35.0,35.0
